war,tl
Nagsusurat kami ha iyo mahitungod han Pulong nga nahatag han kinabuhi nga nakada na nga daan tikang pa ha tinikangan. Amon ini hinbatian ngan amon ini hinkit-an han amon mga mata; tinuod amon ini hinkit-an ngan amon ini hinkaptan.,"Yaong buhat sa pasimula, na aming narinig, nakita ng aming mga mata, aming napagmasdan, at nahipo ng aming mga kamay, tungkol sa salita ng buhay—"
"Han pagpadayag na hini nga kinabuhi, hinkit-an namon ini; sanglit amon ini ginhihimangraw ngan ginsusumat namon ha iyo mahitungod han dayon nga kinabuhi nga nakada han Amay ngan iginpahayag ha amon.","at ang buhay na ito ay nahayag, aming nakita, aming pinatototohanan, at sa inyo'y aming ibinabalita ang buhay na walang hanggan, na kasama ng Ama at sa amin ay ipinahayag."
"Iginsusumat liwat namon ha iyo an amon hinkit-an ngan hinbatian, basi mahitampo kamo ha amon dida hin minagburugto nga pagkaurosa naton han Amay ngan han iya anak nga hi Jesu-Cristo.",Ipinahahayag namin sa inyo yaong aming nakita at narinig upang kayo rin naman ay magkaroon ng pakikisama sa amin; at tunay na ang ating pakikisama ay sa Ama at sa kanyang Anak na si Jesu-Cristo.
Ginsusurat namon ini basi mahingpit an aton kalipay.,Isinusulat namin ang mga bagay na ito upang ang aming kagalakan ay malubos.
"Niyan amo ini an mensahe nga amon hinbatian tikang han iya Anak, nga karuyag namon ipahibaro ha iyo: kapawa an Dyos ngan waray gud kasisidman dida ha iya.","At ito ang mensahe na aming narinig sa kanya at sa inyo'y aming ipinahahayag, na ang Diyos ay liwanag, at sa kanya'y walang anumang kadiliman."
"Sanglit kon masiring kita nga nahiusa na kita han Dyos, kundi nagpapadayon kita hin pag-ukoy ha kasisidman, nagbibinuwa kita ha pulong ngan ha buhat.","Kung sinasabi nating tayo'y may pakikisama sa kanya, at tayo'y lumalakad sa kadiliman, nagsisinungaling tayo at hindi natin ginagawa ang katotohanan."
Kundi kon nag-uokoy kita ha kapawa-sugad nga aada hiya ha kapawa—may-ada naton minagburugto nga pagkaurosa ngan an dugo ni Jesus nga iya Anak naghugas han aton ngatanan nga sala.,"Ngunit kung tayo'y lumalakad sa liwanag, na tulad niya na nasa liwanag, may pakikisama tayo sa isa't isa, at ang dugo ni Jesus na kanyang Anak ang lumilinis sa atin sa lahat ng kasalanan."
"Kon masiring kita nga waray naton sala, naglilimbong la ngahaw kita ha aton kalugaringon, ngan waray gud dinhe ha aton an kamatuoran.","Kung sinasabi nating tayo'y walang kasalanan, dinadaya natin ang ating sarili at ang katotohanan ay wala sa atin."
"Kundi kon igkumpisal ta an aton mga sala ngadto sa Dyos, pagtutumanon niya an iya saad ngan pagbubuhaton an matadong: pasasayloon kita han aton mga sala, ngan lilinisan kita han ngatanan ng karat-an.","Kung ipinahahayag natin ang ating mga kasalanan, siya ay tapat at banal na magpapatawad sa ating mga kasalanan at tayo'y lilinisin sa lahat ng kalikuan."
"Kon sumiring kita nga waray kita makasala, ginpapahimuwa ta an Dyos, ngan waray dinhe ha aton an iya mga pulong.","Kung sinasabi nating tayo'y hindi nagkasala, ginagawa natin siyang sinungaling at ang kanyang salita ay wala sa atin."
"Ginsusuratan ko kamo hini, mga anak ko, basi diri kamo makasala; kundi kon may makasala ha iyo, may-ada kita usa nga mangangamuyo han Amay para ha aton, hi Jesu-Cristo an usa nga matadong.","Mga munti kong anak, ang mga bagay na ito ay isinusulat ko sa inyo, upang kayo'y huwag magkasala. Ngunit kung ang sinuman ay magkasala, tayo ay may Tagapagtanggol sa harap ng Ama, si Jesu-Cristo na siyang matuwid."
"Ngan hi Cristo amo ngahaw an magpapasaylo han aton mga sala, diri la han aton mga sala kundi han mga sala liwat han ngatanan nga mga tawo.","Siya ang kabayaran para sa ating mga kasalanan, at hindi lamang para sa atin kundi para din sa kasalanan ng buong sanlibutan."
"Kon magtuman kita han mga sugo han Dyos, waray ruhaduha nga nakilala kita ha iya.","At sa ganito'y nalalaman natin na siya'y kilala natin, kung tinutupad natin ang kanyang mga utos."
"Kon may masiring, “Nakilala ako ha iya,” kundi diri nagtutuman han iya mga sugo, buwaon ito nga tawo ngan waray kamatuoran dida ha iya.","Ang nagsasabing, “Kilala ko siya,” ngunit hindi tinutupad ang kanyang mga utos, ay sinungaling, at ang katotohanan ay wala sa kanya."
"Kundi an nagtutuman han iya pulong amo an tawo nga may-ada hingpit nga paghigugma han Dyos. Tungod hini, waray ruhaduha nga aada kita ha iya:","Ngunit ang sinumang tumutupad ng kanyang salita, tunay na naging ganap sa taong ito ang pag-ibig ng Diyos. Sa pamamagitan nito'y nalalaman nating tayo'y nasa kanya."
An nasiring nga aada hiya han Dyos kinahanglan mag-ukoy hiya hin kinabuhi nga sugad kan Jesu-Cristo.,Ang nagsasabing siya'y nananatili sa kanya ay nararapat ding lumakad gaya ng kanyang paglakad.
"Mga hinugugma ko, diri bag-o nga sugo ini nga ginsusurat ko ha iyo; an daan ini nga sugo, ngan nakada na ini ha iyo tikang pa gud ha tinikangan. An daan nga sugo amo an mensahe nga hinbatian na niyo.","Mga minamahal, hindi bago ang utos na isinusulat ko sa inyo, kundi ang dating utos na nasa inyo na buhat nang pasimula; ang dating utos ay ang salita na inyong narinig."
"Kundi bag-o an sugo nga akon ginsusurat ha iyo yana, kay nakikita an iya kamatuoran dida kan Cristo ngan dida man ha iyo. Kay magpapapas na an kasisidman, ngan sinmidlit na an tinuod nga kapawa.","Gayunma'y isinusulat ko sa inyo ang isang bagong utos na tunay sa kanya at sa inyo, sapagkat ang kadiliman ay lumilipas at ang tunay na liwanag ay tumatanglaw na."
"Aada pa gihapon ha kasisidman an bisan hin-o nga nagdudumot han iya bugto, bisan kon nasiring hiya nga aada na hiya ha kapawa.",Ang nagsasabing siya'y nasa liwanag at napopoot sa kanyang kapatid ay nasa kadiliman pa hanggang ngayon.
"An bisan hin-o nga nahigugma han iya bugto mag-uokoy dida han kapawa, sanglit waray gud bisan ano dida ha iya nga mahihimo nga tinikangan hin pakasala han iba.","Ang umiibig sa kanyang kapatid ay nananatili sa liwanag, at sa kanya'y walang anumang kadahilanang ikatitisod."
